27,45
16,34
2,20
10,28
17,35
4,22
24,42
9,27
27,45
18,36
5,23
28,46
2,20
2,20
14,32
30,48
7,25
30,48
12,30
24,42
4,22
28,46
14,32
2,20
19,37
12,30
22,40
19,37
3,21
10,28
17,35
9,27
23,41
29,47
14,32
22,40
28,46
13,31
2,20
21,39
22,40
28,46
17,35
11,29
24,42
26,44
13,31
13,31
29,47
16,34
10,28
2,20
27,45
6,24
30,48
30,48
26,44
29,47
11,29
11,29
4,22
7,25
11,29
27,45
13,31
19,37
2,20
27,45
23,41
26,44
1,19
26,44
8,26
17,35
17,35
12,30
8,26
9,27
15,33
1,19
4,22
17,35
11,29
19,37
3,21
12,30
1,19
25,43
4,22
14,32
18,36
23,41
15,33
20,38
14,32
21,39
6,24
29,47
22,40
12,30
