2.220328244188618516e-02 6.480907091304236589e-01 1.237309713898838703e-01 3.605771524088030588e-02 4.741782701388799204e-01 9.891941579464418322e-01 3.934190723232015019e-01 6.795337592557179063e-01 9.263044641876623242e-01 8.585469339828476487e-01
1.569566305814211749e-01 2.738023387825276878e-01 4.704342349085375297e-01 3.847598464350783232e-01 8.064085958249151975e-01 4.297384086188866803e-01 9.437670338151079585e-01 5.267491404889885764e-01 3.008339472032334205e-01 6.498802764784320507e-01
3.313876408434002219e-01 9.574707234482465745e-01 4.730128309197039194e-01 6.368222984988268776e-01 9.593590654341965784e-01 3.243753886499123329e-02 1.224548013722041029e-01 7.671436098622671507e-01 4.885400265083229554e-01 6.501235665918444484e-01
9.325494199188564259e-01 2.502962083267418203e-01 6.609478327542459564e-01 5.821731264825357188e-01 2.137022359753598666e-01 5.287984509786067822e-01 1.691220802255231082e-01 3.206255862162280534e-01 5.479748235515957688e-01 5.638219352587964250e-01
3.091925540397277850e-03 9.032402979959719413e-01 2.101565945285353010e-01 3.047147117903857838e-01 4.001815114895022063e-01 4.620517940836993409e-01 6.763376735355031144e-01 8.535061584349357133e-02 5.602185213016438459e-01 7.814583014121510018e-01
6.435172596740686979e-01 2.100863326759980776e-01 1.482502174680404572e-01 7.829940885728781108e-02 9.971168913535140010e-01 9.660819717095440184e-01 7.499326490966564673e-01 6.596213285422081185e-01 6.879766469310885091e-01 8.593276946430198349e-01
8.369024099633692870e-04 9.272525058716761803e-01 4.603564936080576375e-01 1.988152649053820387e-02 9.843612435212580891e-01 4.775643959851296749e-01 4.204250059662207883e-01 6.108427303247376816e-01 5.247713126058046740e-01 5.997280584747324284e-01
2.271142012033973145e-01 6.735021174047449710e-01 5.007647677515424389e-01 1.768976746202035599e-01 6.759857343760428128e-01 4.111494017113365151e-01 4.812349170820252597e-01 3.565776004356708828e-01 5.604325573545465566e-01 9.370259302552887970e-01
6.109181943525321401e-01 9.931334179471380530e-01 3.832394948497322984e-01 9.752705187457685332e-01 3.712322326842888431e-01 1.237916475181674025e-01 3.572009242218410208e-01 2.833755211341010272e-01 4.707764881831769666e-01 7.250121026453187900e-01
7.267264885978086397e-02 8.081118476711719456e-01 2.808038744227463468e-01 2.268246609353546939e-01 6.453916224656220946e-01 1.335606792989447733e-01 8.191700394683406605e-01 4.523736750316291744e-01 8.372609459929158948e-02 7.870481248730453183e-01
1.012441615789451133e-01 8.325222126213454032e-01 2.637269473703569567e-01 8.147501778657548765e-01 2.254980999900618732e-01 6.947949947303500018e-01 8.161583113290293845e-01 4.275205586010409897e-01 1.578165127377831878e-01 1.474454569315351016e-01
